country,begin,end,name,url
CHN,2001-01-01,2001-01-01,元旦,
CHN,2001-01-22,2001-02-02,春节,
CHN,2001-05-01,2001-05-07,劳动节,
CHN,2001-10-01,2001-10-05,国庆节,
CHN,2002-01-01,2002-01-01,元旦,http://www.shfe.com.cn/news/notice/31263810.html
CHN,2002-02-11,2002-02-18,春节,http://www.shfe.com.cn/news/notice/3084079.html
CHN,2002-05-01,2002-05-07,劳动节,http://www.shfe.com.cn/news/notice/3084079.html
CHN,2002-09-30,2002-10-07,国庆节,http://www.shfe.com.cn/news/notice/3084079.html
CHN,2003-01-01,2003-01-01,元旦,http://www.shfe.com.cn/news/notice/31263810.html
CHN,2003-01-30,2003-02-07,春节,http://www.shfe.com.cn/news/notice/31263810.html
CHN,2003-05-01,2003-05-07,劳动节,http://www.shfe.com.cn/news/notice/31263810.html
CHN,2003-10-01,2003-10-07,国庆节,http://www.shfe.com.cn/news/notice/31263810.html
CHN,2004-01-01,2004-01-01,元旦,http://www.shfe.com.cn/news/notice/311256883.html
CHN,2004-01-19,2004-01-28,春节,http://www.shfe.com.cn/news/notice/311256883.html
CHN,2004-05-01,2004-05-07,劳动节,http://www.shfe.com.cn/news/notice/311256883.html
CHN,2004-10-01,2004-10-07,国庆节,http://www.shfe.com.cn/news/notice/311256883.html
CHN,2005-01-01,2005-01-03,元旦,http://www.szse.cn/disclosure/notice/general/t20041223_499349.html
CHN,2005-02-07,2005-02-15,春节,http://www.szse.cn/disclosure/notice/general/t20041223_499349.html
CHN,2005-05-01,2005-05-08,劳动节,http://www.szse.cn/disclosure/notice/general/t20041223_499349.html
CHN,2005-10-01,2005-10-09,国庆节,http://www.szse.cn/disclosure/notice/general/t20041223_499349.html
CHN,2006-01-01,2006-01-03,元旦,http://www.szse.cn/disclosure/notice/general/t20051223_499514.html
CHN,2006-01-26,2006-02-05,春节,http://www.szse.cn/disclosure/notice/general/t20051223_499514.html
CHN,2006-05-01,2006-05-07,劳动节,http://www.szse.cn/disclosure/notice/general/t20051223_499514.html
CHN,2006-10-01,2006-10-08,国庆节,http://www.szse.cn/disclosure/notice/general/t20051223_499514.html
CHN,2007-01-01,2007-01-03,元旦,http://www.szse.cn/disclosure/notice/general/t20061221_499734.html
CHN,2007-02-17,2007-02-25,春节,http://www.szse.cn/disclosure/notice/general/t20061221_499734.html
CHN,2007-05-01,2007-05-07,劳动节,http://www.szse.cn/disclosure/notice/general/t20061221_499734.html
CHN,2007-10-01,2007-10-07,国庆节,http://www.szse.cn/disclosure/notice/general/t20061221_499734.html
CHN,2007-12-30,2008-01-01,元旦,http://www.szse.cn/disclosure/notice/general/t20071225_499949.html
CHN,2008-02-06,2008-02-12,春节,http://www.szse.cn/disclosure/notice/general/t20071225_499949.html
CHN,2008-04-04,2008-04-06,清明节,http://www.szse.cn/disclosure/notice/general/t20071225_499949.html
CHN,2008-05-01,2008-05-03,劳动节,http://www.szse.cn/disclosure/notice/general/t20071225_499949.html
CHN,2008-06-07,2008-06-09,端午节,http://www.szse.cn/disclosure/notice/general/t20071225_499949.html
CHN,2008-09-13,2008-09-15,中秋节,http://www.szse.cn/disclosure/notice/general/t20071225_499949.html
CHN,2008-09-29,2008-10-05,国庆节,http://www.szse.cn/disclosure/notice/general/t20071225_499949.html
CHN,2009-01-01,2009-01-03,元旦,http://www.szse.cn/disclosure/notice/general/t20071225_499949.html
